index,label_name,label
0,clean,0
1,clean,0
2,too_low_volume,2
3,too_low_volume,2
4,clean,0
5,too_low_volume,2
6,too_low_volume,2
7,clean,0
8,too_low_volume,2
9,too_low_volume,2
10,clean,0
11,too_low_volume,2
12,noisy,1
13,too_low_volume,2
14,too_low_volume,2
15,noisy,1
16,too_low_volume,2
17,too_low_volume,2
18,too_low_volume,2
19,too_low_volume,2
20,noisy,1
21,clean,0
22,clean,0
23,noisy,1
24,noisy,1
25,clean,0
26,too_low_volume,2
27,noisy,1
28,too_low_volume,2
30,too_low_volume,2
31,noisy,1
32,too_low_volume,2
33,clean,0
34,clean,0
35,noisy,1
36,clean,0
37,clean,0
38,too_low_volume,2
39,too_low_volume,2
40,too_low_volume,2
41,too_low_volume,2
42,too_low_volume,2
43,too_low_volume,2
44,clean,0
45,too_low_volume,2
46,clean,0
47,too_low_volume,2
48,noisy,1
49,too_low_volume,2
50,noisy,1
51,noisy,1
52,noisy,1
53,clean,0
54,clean,0
55,clean,0
56,too_low_volume,2
57,too_low_volume,2
58,clean,0
59,clean,0
60,noisy,1
61,noisy,1
62,noisy,1
63,noisy,1
64,clean,0
65,too_low_volume,2
66,clean,0
67,too_low_volume,2
68,too_low_volume,2
70,too_low_volume,2
71,clean,0
72,clean,0
73,clean,0
74,noisy,1
75,noisy,1
76,clean,0
77,too_low_volume,2
78,clean,0
79,noisy,1
80,clean,0
81,noisy,1
82,clean,0
83,too_low_volume,2
84,too_low_volume,2
85,clean,0
86,clean,0
87,too_low_volume,2
88,noisy,1
89,noisy,1
90,clean,0
91,noisy,1
92,clean,0
93,noisy,1
94,clean,0
95,too_low_volume,2
96,clean,0
97,too_low_volume,2
98,noisy,1
99,too_low_volume,2
100,too_low_volume,2
101,noisy,1
102,too_low_volume,2
103,clean,0
104,clean,0
105,too_low_volume,2
106,clean,0
107,too_low_volume,2
108,too_low_volume,2
109,too_low_volume,2
110,too_low_volume,2
111,too_low_volume,2
112,noisy,1
113,clean,0
114,noisy,1
115,noisy,1
116,clean,0
117,too_low_volume,2
118,noisy,1
119,too_low_volume,2
120,noisy,1
121,clean,0
122,too_low_volume,2
123,noisy,1
124,clean,0
125,noisy,1
126,clean,0
127,noisy,1
128,noisy,1
129,too_low_volume,2
130,noisy,1
131,clean,0
132,too_low_volume,2
133,clean,0
134,too_low_volume,2
135,too_low_volume,2
136,too_low_volume,2
137,noisy,1
138,too_low_volume,2
139,noisy,1
140,clean,0
141,noisy,1
142,clean,0
143,clean,0
144,noisy,1
145,noisy,1
146,noisy,1
147,too_low_volume,2
148,too_low_volume,2
149,too_low_volume,2
150,clean,0
151,too_low_volume,2
152,clean,0
153,noisy,1
154,too_low_volume,2
155,too_low_volume,2
156,too_low_volume,2
157,too_low_volume,2
158,too_low_volume,2
159,too_low_volume,2
160,too_low_volume,2
161,clean,0
162,noisy,1
163,noisy,1
164,too_low_volume,2
165,noisy,1
166,clean,0
167,too_low_volume,2
168,noisy,1
169,noisy,1
170,noisy,1
171,too_low_volume,2
172,clean,0
173,too_low_volume,2
174,noisy,1
175,clean,0
176,clean,0
177,clean,0
178,too_low_volume,2
179,too_low_volume,2
180,clean,0
181,noisy,1
182,noisy,1
183,too_low_volume,2
184,clean,0
185,clean,0
186,too_low_volume,2
187,clean,0
188,clean,0
189,too_low_volume,2
190,too_low_volume,2
191,noisy,1
192,too_low_volume,2
193,too_low_volume,2
194,clean,0
195,too_low_volume,2
196,too_low_volume,2
197,too_low_volume,2
198,too_low_volume,2
199,too_low_volume,2
200,clean,0
201,noisy,1
202,noisy,1
203,noisy,1
204,too_low_volume,2
205,noisy,1
206,clean,0
208,too_low_volume,2
209,clean,0
210,noisy,1
211,clean,0
212,too_low_volume,2
213,too_low_volume,2
214,clean,0
215,too_low_volume,2
216,too_low_volume,2
217,too_low_volume,2
218,clean,0
219,too_low_volume,2
220,noisy,1
221,too_low_volume,2
222,clean,0
223,too_low_volume,2
224,noisy,1
225,too_low_volume,2
226,clean,0
227,noisy,1
228,noisy,1
229,clean,0
230,too_low_volume,2
232,too_low_volume,2
233,noisy,1
234,too_low_volume,2
235,too_low_volume,2
236,noisy,1
237,clean,0
238,too_low_volume,2
239,noisy,1
240,clean,0
241,too_low_volume,2
242,clean,0
243,too_low_volume,2
244,noisy,1
246,too_low_volume,2
247,clean,0
248,too_low_volume,2
249,clean,0
250,too_low_volume,2
251,clean,0
252,clean,0
253,clean,0
254,noisy,1
255,too_low_volume,2
256,too_low_volume,2
257,noisy,1
258,too_low_volume,2
259,noisy,1
260,too_low_volume,2
261,too_low_volume,2
262,too_low_volume,2
263,too_low_volume,2
264,too_low_volume,2
265,too_low_volume,2
268,too_low_volume,2
269,too_low_volume,2
270,too_low_volume,2
271,clean,0
272,too_low_volume,2
273,noisy,1
274,clean,0
275,clean,0
276,too_low_volume,2
277,clean,0
278,clean,0
279,too_low_volume,2
280,noisy,1
281,noisy,1
283,clean,0
284,too_low_volume,2
